Study,Author,Year,Order,Genus,Species,Structure,Region,Suffix,n,Freq,Max vertebral age,Min validated,Max validated,Max actual age,Age underestimation,Magnitude min,Magnitude max,Magnitude mean,Method,Method2,Method3,Worked,Captive,Rationale,Comment
1,Passerotti et al,2014,Lamniformes,Carcharias,Carcharias taurus,Vert-section,NWA,b,8,Annual,22,0,12,34,Yes,11,12,12,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature,
1,Passerotti et al,2014,Lamniformes,Carcharias,Carcharias taurus,Vert-section,SA,,2,Annual,23,0,14,40,Yes,18,20,19,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature,
2,Campana et al ,2002,Lamniformes,Isurus,Isurus oxyrinchus,Vert-section,NWA,a,1,Annual,21,0,21,,No,,,,Bomb radiocarbon,NA,NA,Yes,No,,
2,Campana et al,2002,Lamniformes,Lamna,Lamna nasus,Vert-section,NWA,a,15,Annual,26,0,26,,No,,,,Bomb radiocarbon,NA,NA,Yes,No,,
3,Smith et al ,2003,Carcharhiniformes,Triakis,Triakis semifasciata,Vert-section,NEP,,52,Annual,25,0,25,,No,,,,Chemical,NA,NA,Yes,No,,Also included 51 samples from Kusher et al (1992) and Smith (1984). Kusher notes that OTC uptake was sufficient in only 36 of 104 specimens
4,Natanson and Cailliet,1990,Squatiniformes,Squatina,Squatina californica,Vert-section,NEP,,6,Weight,NA,NA,NA,,NA,,,,Chemical,NA,NA,Yes,Yes,,
5,Wintner and Dudley,2000,Carcharhiniformes,Galeocerdo,Galeocerdo cuvier,Vert-section,SA,,2,Annual,13,1,5,,No,,,,Chemical,NA,NA,Yes,No,,
6,Harry et al,2013,Carcharhiniformes,Carcharhinus,Carcharhinus sorrah,Vert-section,AUS/NZ,,8,Annual,13,0,0,,Yes,2,2,2,Chemical,NA,NA,Partially,No,Recapture did not form expected number of growth zones. Calcein did not mark pregnant females.,
6,Harry et al,2013,Carcharhiniformes,Carcharhinus,Carcharhinus tilstoni,Vert-section,AUS/NZ,b,1,Annual,15,0,0,,Yes,3,3,3,Chemical,NA,NA,Yes,No,Recapture did not form expected number of growth zones,
7,Francis et al,2007,Lamniformes,Lamna,Lamna nasus,Vert-section,AUS/NZ,,11,Annual,38,0,20,65,Yes,4,34,22,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature,
