Study,Name,Species,ID,Sex,Length,Linf,Count,Age,Amax,Comments
Francis et al 2007,Porbeagle shark,L. nasus,POS045,M,179,182.2,35,39,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS060,F,180,233,20,20,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS062,F,190,233,20,20,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS085,M,163,182.2,19,19,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS087,F,170,233,16,16,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS165,M,179,182.2,31,65,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS176,M,179,182.2,29,57,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS193,M,172,182.2,28,46,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS197,M,200,182.2,38,55,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS199,M,173,182.2,22,45,65,
Francis et al 2007,Porbeagle shark,L. nasus,POS203,M,185,182.2,32,65,65,
McPhie and Campana 2009,Thorny skate,L. ocellata,THARC,,64.5,70,23,28,28,Linf from combined sexes Logistic model
Andrews et al 2011,Sandbar shark,C. plumbeus,SB43,F,136.5,181.2,10.3,10.3,33,Linf from Hale and Baremore (2013)
Andrews et al 2011,Sandbar shark,C. plumbeus,SB47970,F,160,181.2,14.2,25,33,Linf from Hale and Baremore (2013)
Andrews et al 2011,Sandbar shark,C. plumbeus,SB745,M,167,172.9,16.4,20,33,Linf from Hale and Baremore (2013)
Andrews et al 2011,Sandbar shark,C. plumbeus,SB74,F,170,181.2,16.1,26,33,Linf from Hale and Baremore (2013)
Passerotti et al 2014,Sandtiger shark,C. taurus (NWA),SST009,M,213,249,9,9,34,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (NWA),SST010,M,146,249,2,2,34,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (NWA),SST015,F,213,296,8,8,34,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (NWA),SST019,F,166,296,4,4,34,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (NWA),SST064,F,260,296,22,34,34,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (NWA),SST090,M,244,249,22,34,34,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (NWA),SST120,F,265,296,19,30,34,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (SA),SST142,F,299,296,22,40,40,Linf from Goldman et al (2006)
Passerotti et al 2014,Sandtiger shark,C. taurus (SA),SST146,F,280,296,23,40,40,Linf from Goldman et al (2006)
Kalish and Johnston 2001,School shark,G. galeus,BRN3429,F,1540,1618,13.86,14,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,BRN3431,F,1510,1618,12.78,26,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,BRN3432,F,1600,1618,14.93,30,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,BRN3433,F,1520,1618,12.93,15,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,BRN5396,F,1595,1618,13.01,15,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,BRN5796,F,1582,1618,12.72,18,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,BRN5797,F,1615,1618,14.73,21,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,212,M,1568,1583,9.71,23,42,Linf from Grant et al 1979
Kalish and Johnston 2001,School shark,G. galeus,BRN633,M,1141,1583,3.48,21,42,Linf from Grant et al 1979
Natanson et al 2014,Dusky shark,C. obscurus,DS8,M,95,261,1,1,42,
Natanson et al 2014,Dusky shark,C. obscurus,DS12,F,102,261,1,1,42,
Natanson et al 2014,Dusky shark,C. obscurus,DS18,M,148,261,9,9,42,
Natanson et al 2014,Dusky shark,C. obscurus,DS48,M,174,261,8,8,42,
Natanson et al 2014,Dusky shark,C. obscurus,DS50,M,177,261,11,11,42,
Natanson et al 2014,Dusky shark,C. obscurus,DS51,F,263,261,23,38,42,
Natanson et al 2014,Dusky shark,C. obscurus,DS81,M,259,261,23,42,42,
Natanson et al 2014,Dusky shark,C. obscurus,DS234,M,218,261,15,15,42,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS57,M,442,493,44,44,73,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS100,M,223.5,493,9,9,73,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS105,M,493,493,52,73,73,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS143,M,222.2,493,14,14,73,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS28,F,220.9,526,6,6,73,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS81,F,526,526,33,40,73,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS117,F,330,526,21,21,73,
Hamady et al 2014,White shark (NWA),C. carcharias (NWA),WS134,F,495.3,526,35,32,73,
Natanson et al 2015,Common thresher,A. vulpinus,CT32,F,262,256,20,38,38,
Natanson et al 2015,Common thresher,A. vulpinus,CT200,M,184.5,256,5,5,38,
Natanson et al 2015,Common thresher,A. vulpinus,CT201,F,248.9,256,17,20,38,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH7,,167.6,530,1,1,30,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH26694,,225.4,530,2,2,30,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH12,,210,530,1,1,30,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH8,,147.3,530,1,1,30,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH25,,168,530,1,1,30,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH3,,234,530,3,12,30,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH1,,393,530,7,22,30,
Andrews and Kerr 2015,White shark (NEP),C. carcharias (NEP),WH17,,460.9,530,18,30,30,
